title,company,salary,location,career,education,employment,preferred,salary_detail,work_days,work_place
드론·로봇 통합 플랫폼을 함께 만들 백엔드 개발자,(주)모빌리티원,,서울중구,신입·경력 3년 ↓,대졸(4년제) 이상(예정자 가능),정규직수습기간 3개월,,,,서울 중구지도
자율 점검드론/로봇 개발자모집(1~3),(주)시에라베이스,,,경력 1~3년,대졸(4년제) 이상,정규직,,,,"울산전체, 울산 남구"
로보틱스 하드웨어(H/W -설계)엔지니어 모집 (신입/경력),(주)테솔로,,경기광명시,신입·경력 5년 ↓,대졸(4년제) 이상(예정자 가능),정규직수습기간 2개월,"우대사항상세보기전공전기/전자공학, 공학계열활동/경험공모전 입상자, 해당직무 근무경험닫기 - 우대사항 상세",,,"경기 광명시, 경기전체, 수원시, 시흥시, 안산시, 서울전체, 서울 강남구, 관악구, 금천구, 동작구지도"
[로보티즈] 임베디드 HW 신규 엔지니어 채용,(주)로보티즈,,서울강서구,무관(신입포함),대졸(4년제) 이상(예정자 가능),"정규직, 계약직, 병역특례근무형태상세보기정규직수습기간 3개월계약직3개월, 정규직 전환 가능병역특례전문연구요원닫기 근무형태 상세 설명","우대사항상세보기전공전기/전자공학, 공학계열활동/경험해당직무 근무경험, 석사학위 수여자, 박사학위 수여자닫기 - 우대사항 상세",,주 5일(월~금),서울 강서구지도
로봇 소프트웨어 개발자 채용,(주)스마트뱅크,,부산연제구,경력(년수무관),대졸(4년제) 이상,정규직수습기간 2개월,우대사항상세보기전공공학계열활동/경험해당직무 근무경험보유역량외국인 지원 가능닫기 - 우대사항 상세,,주 5일(월~금),부산 연제구지도
로봇 제어 관련 분야 R&D 연구원 채용 공고 [디엑스알],(주)디엑스알,,서울도봉구,신입·경력 5년 ↓,대졸(4년제) 이상석박사졸업예정자 지원가능,정규직수습기간 3개월,"우대사항상세보기전공전기/전자공학, 공학계열활동/경험해당직무 근무경험, 석사학위 수여자, 박사학위 수여자닫기 - 우대사항 상세",,주 5일(월~금),서울 도봉구지도
[엠젠솔루션] AI융합연구소 Web Front/Back 개발자 채용 공고,(주)엠젠솔루션,,서울구로구,무관(신입포함),학력무관,정규직수습기간 3개월,우대사항상세보기활동/경험해당직무 근무경험닫기 - 우대사항 상세,,,서울 구로구지도
스마트팩토리 로봇관제 S/W 개발자,인아텍앤코포 (주),,인천전체,경력 1~5년,대졸(4년제) 이상,정규직,"우대사항상세보기전공전기/전자공학, 공학계열활동/경험해당직무 근무경험, 석사학위 수여자, 박사학위 수여자닫기 - 우대사항 상세",,주 5일(월~금),"인천전체, 인천 남동구"
3차원 카메라 하드웨어 개발자(2~4),(주)클레,,서울전체,경력 2~4년,학력무관,정규직,"우대사항상세보기전공전기/전자공학, 공학계열활동/경험해당직무 근무경험, 석사학위 수여자, 박사학위 수여자닫기 - 우대사항 상세",,주 5일(월~금),"서울 성동구, 서울전체"
자율 점검드론/로봇 개발자모집(7~10),(주)시에라베이스,,,경력 7~10년,대졸(4년제) 이상,정규직,,,,"울산전체, 울산 남구"
